start:1742299282.228 elapsed:0.013792037963867 end:1742299282.2418 memory:752392 system_usage:1.188551 user_usage:4.264745
start:1742299282.2426 elapsed:0.013850212097168 end:1742299282.2564 memory:752320 system_usage:1.177611 user_usage:4.28113
start:1742299282.2619 elapsed:0.049508094787598 end:1742299282.3114 memory:752848 system_usage:1.159347 user_usage:5.073899
start:1742299282.3316 elapsed:0.011206150054932 end:1742299282.3428 memory:753128 system_usage:1.153507 user_usage:4.714423
start:1742299369.8919 elapsed:0.020504951477051 end:1742299369.9124 memory:1311872 system_usage:1.178269 user_usage:5.002106
start:1742299369.9293 elapsed:0.014847993850708 end:1742299369.9442 memory:752280 system_usage:1.184228 user_usage:5.011824
start:1742299369.9452 elapsed:0.013010025024414 end:1742299369.9582 memory:752208 system_usage:1.23901 user_usage:4.914008
start:1742299369.9638 elapsed:0.047063112258911 end:1742299370.0109 memory:752736 system_usage:0.825908 user_usage:2.983282
start:1742299370.028 elapsed:0.012768030166626 end:1742299370.0408 memory:753016 system_usage:1.191415 user_usage:4.275255
start:1742299419.8291 elapsed:0.023795127868652 end:1742299419.8529 memory:1198888 system_usage:1.182593 user_usage:4.29806
start:1742299419.8738 elapsed:0.01301097869873 end:1742299419.8868 memory:654696 system_usage:1.18778 user_usage:4.306706
start:1742299419.8879 elapsed:0.011624097824097 end:1742299419.8995 memory:654768 system_usage:1.165364 user_usage:5.080951
start:1742299419.9044 elapsed:0.047823905944824 end:1742299419.9522 memory:655224 system_usage:1.163631 user_usage:4.752919
start:1742299419.9692 elapsed:0.011698961257935 end:1742299419.9809 memory:655504 system_usage:1.188051 user_usage:5.020022
start:1742299497.5067 elapsed:0.024667978286743 end:1742299497.5313 memory:1296976 system_usage:1.249077 user_usage:4.92625
start:1742299497.5518 elapsed:0.01754093170166 end:1742299497.5693 memory:752208 system_usage:1.255077 user_usage:4.93824
start:1742299497.5702 elapsed:0.012351036071777 end:1742299497.5826 memory:752280 system_usage:0.831078 user_usage:2.990882
start:1742299497.5885 elapsed:0.05168890953064 end:1742299497.6402 memory:752736 system_usage:1.197421 user_usage:4.321346
start:1742299497.6571 elapsed:0.011368989944458 end:1742299497.6684 memory:753016 system_usage:1.190731 user_usage:4.315522
start:1742299586.4994 elapsed:0.023598909378052 end:1742299586.523 memory:1215064 system_usage:1.169615 user_usage:4.767815
start:1742299586.5385 elapsed:0.012033224105835 end:1742299586.5505 memory:654768 system_usage:1.173787 user_usage:4.776479
start:1742299586.5514 elapsed:0.012984991073608 end:1742299586.5644 memory:654696 system_usage:1.193033 user_usage:5.028861
start:1742299586.5804 elapsed:0.049659967422485 end:1742299586.6301 memory:655224 system_usage:1.263931 user_usage:4.980669
start:1742299586.6467 elapsed:0.012216091156006 end:1742299586.659 memory:655504 system_usage:0.837128 user_usage:2.99704
start:1742299626.546 elapsed:0.019995927810669 end:1742299626.566 memory:1118456 system_usage:1.202291 user_usage:4.337874
start:1742299626.5895 elapsed:0.013430118560791 end:1742299626.6029 memory:654768 system_usage:1.196521 user_usage:4.323726
start:1742299626.6037 elapsed:0.011547088623047 end:1742299626.6152 memory:654696 system_usage:1.174367 user_usage:5.101939
start:1742299626.62 elapsed:0.049986124038696 end:1742299626.67 memory:655224 system_usage:1.178602 user_usage:4.822835
